LOC_ID      NAME                Description
----------------------------------------------------------------------------
KO-91     KO-91          Total net Ex-bus injection by Korba STPS(Main)
KO-94     KO-94          KORBA STG 1&2 GTs GEN.
KO-95     KO-95          KORBA STG 3 GT GEN.
KO-96     KO-96          Sum of GT meters of  Stage I,II&III.
KO-97     KO-97          Ex-bus total generation of KORBA 1&2.
KO-98     KO-98          Ex-bus total generation of KORBA 3.
KO-99     KO-99          Ex-bus total generation of KORBA 3(EXCLUDING tt-4).
KO-AD     KO-AD          Adjustment column for KSTPS
MP-VI     MP-VI          Total Waidhan drawal from VSTPS
VI-IC     VI-IC          ACTUAL 400/132KV TRANSFORMER LOSS 
VI-HV     VI-HV          TOTAL HV SIDE OF ICT1&2 AT VSTPS
VI-WI     VI-WI          % LOSS OF ICT
MP-LO     MP-LO          Loss apportioned from Waidhan drawal
VI-AJ     VI-AJ          SUM OF ADJUSTMENT VALUE AND T'XMER LOSS OF VSTPS
VI-81     VI-81          Sub-total-1 net Ex-bus injection by Vindhyachal STPS(Main)
VI-82     VI-82          Sub-total-2 net Ex-bus injection by Vindhyachal STPS(Main)
VI-91     VI-91          Total net Ex-bus injection by Vindhyachal STPS(Main)
VI-71     VI-71          Sub-total-1 net Ex-bus injection by Vindhyachal STPS(Check)
VI-72     VI-72          Sub-total-2 net Ex-bus injection by Vindhyachal STPS(Check)
VI-92     VI-92          Total net Ex-bus injection by Vindhyachal STPS(Check)
VI-93     VI-93          Stage-I GT meter readings
VI-94     VI-94          Stage-II GT meter readings
VI-98     VI-98          Stage-III GT meter readings
VI-95     VI-95          sum of GT meters of  Stage I,II&III
VI-96     VI-96          Ex-bus total generation of VSTPS I
VI-97     VI-97          Ex-bus total generation of VSTPS II
VI-99     VI-99          Ex-bus total generation of VSTPS III
VI-AD     VI-AD          Adjustment column for VSTPS
KW-91     KW-91          Total net Ex-bus injection by Kawas GPS(Main)
KW-92     KW-92          Total net Ex-bus injection by Kawas GPS(Check)
KW-AD     KW-AD          Adjustment column for KGPP
KW-94     KW-94          KAWAS DIFF BETWEEN GTS AND FEEDERS
KW-95     KW-95          KAWAS STANDBY METERS SUM
KW-N1     KW-N1          B
GA-91     GA-91          Total net Ex-bus injection by Gandhar GPS(Main)
GA-92     GA-92          Total net Ex-bus injection by Gandhar GPS(Check)
GA-AD     GA-AD          GANDHAR ADJUSTMENT
SP-91     SP-91          Total net Ex-bus injection by SIPAT NTPC(Main)
SP-92     SP-92          Total net Ex-bus injection by SIPAT NTPC(Check)
SP-93     SP-93          Total net Ex-bus injection by SIPAT NTPC(STAND_BY)
SP-94     SP-94          Adjustment value for SIPAT
SP-95     SP-95          SIPAT GT-04 DIFF.
SP-96     SP-96          TOTAL SUM OF SIPAT GT-01 & GT-4&5 GENERATION
SP-97     SP-97          APPORTIONED SIPAT GT-4&5 GENERATION
SP-98     SP-98          APPORTIONED SIPAT GT-01 GENERATION
SP-99     SP-99          TEST
SP-AD     SP-AD          ADJUSTMENT VALUE SIPAT
MD-91     MD-91          MOUDA INJECTION(STG-1)
MD-93     MD-93          MOUDA GT-1 AND GT-2 GEN
MD-94     MD-94          MOUDA GT-3(STG-2) GEN
MD-99     MD-99          MOUDA GT-4(STG-2) GEN
